Round Made,Name,Year,Round of 32,Sweet 16,Elite 8,Final Four,Finals,Champion,SMII 32,SMII 16,SMII 8,SMII 4,SMII 2,SMII 1,Seed,Seed Points,Should Make it to,Conference Wins,Conference Losses,Conference PCT,Overall Wins,Overall Losses,Overall PCT,Non-Conf Wins,Non-Conf Losses,Non-Conf PCT,Points Scored/Game,Points Scored,Field Goal %,Field Goals Made,Field Goals Attempted,Field Goals Made/Game,Field Goals Attempted/Game,3 Point %,Free Throw %,Offensive Rebounds,Offensive Rebounds/Game,Defensive Rebounds,Defensive Rebounds/Game,Rebounds,Rebounds/Game,2 Points Made,2 Points Attempted,2 Points %,Free Throws Made,Free Throws Attempted,Free Throws Made/Game,Free Throws Attempted/Game,3 Points Made,3 Points Attempted,3 Points Made per Game,3 Points Attempted per Game,Assists,Assists per Game,Turnovers,Turnovers per Game,Assists/Turnovers,Steals,Steals per Game,Personal Fouls,Personal Fouls per Game,Steals/Turnovers,Steals/Fouls,Blocks,Blocks per Game,Blocks/Fouls,BPI Offense,BPI Defense,BPI,Strength of Resume,SOR Points,Strength of Schedule Rank,SOS Points,Conference Place,538 Ro32,538 S16,538 Elite 8,538 Final 4,Finals,Champion,Power Rating
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
7,Virginia,2019,1,1,1,1,1,1,1,1,1,1,1,0,1,16,6,16,2,0.889,35,3,0.921,19,1,0.950,71.8,2728.4,0.478,820,1715,21.58,45.13,0.409,0.746,284,7.47,824,21.68,1108,29.2,549,1052,0.522,388,520,10.21,13.68,271,663,7.13,17.45,551,14.5,342.0,9.0,1.6111,212.8,5.6,469,12.34,0.62,0.45,144.4,3.8,0.31,12.2,11,23.2,1,260,9,320,1,0.98,0.88,0.73,0.49,0.32,0.17,95.2
